id,lat,lon,time,acce
75,18.4082565,-66.0394764,9:26:35,0.0
76,18.4056633,-66.0450446,9:31:12,0.0
77,18.4051817,-66.045036,9:32:39,0.0
78,18.4038465,-66.0455968,9:34:11,0.0
79,18.4040282,-66.0464981,9:34:56,0.0
80,18.404171,-66.0479111,9:35:34,0.0
81,18.4041421,-66.0500939,9:36:11,0.0
82,18.4063325,-66.0494267,9:37:13,0.0
83,18.4063385,-66.0498613,9:37:40,3.7317583560943604
84,18.4065494,-66.0496296,9:38:14,0.0
85,18.4062489,-66.0484319,9:38:41,4.166811943054199
86,18.4060945,-66.04806,9:38:59,0.0
87,18.4067758,-66.0462409,9:39:29,0.0
88,18.4060572,-66.0449384,9:40:21,0.0
89,18.4061618,-66.0433373,9:41:1,4.801487445831299
90,18.4078602,-66.0391046,9:42:21,0.0
91,18.4069331,-66.0428323,9:45:21,0.0
92,18.4054261,-66.0449761,9:48:22,0.0
93,18.4036928,-66.045515,9:50:4,0.0
94,18.4034043,-66.0462268,9:50:31,0.0
95,18.4039966,-66.0486142,9:51:17,0.0
96,18.4039163,-66.0499031,9:51:56,0.0
97,18.4049598,-66.0504137,9:52:50,6.687342166900635
98,18.4061318,-66.0501497,9:53:12,3.783086061477661
99,18.4071303,-66.0494889,9:53:52,0.0
100,18.4063357,-66.0486968,9:54:18,3.8333001136779785
101,18.4063357,-66.0486968,9:54:18,3.8333001136779785
102,18.4060638,-66.0476243,9:54:41,2.861751079559326
103,18.4067977,-66.0462647,9:55:27,0.0
104,18.406109,-66.0445925,9:56:15,3.006011724472046
105,18.4062058,-66.0431516,9:57:3,4.558348655700684
106,18.4071179,-66.0418747,9:58:42,0.27738267183303833
107,18.4067199,-66.0435654,10:2:1,0.0
108,18.4051679,-66.0454653,10:4:15,0.0
109,18.4035968,-66.0455883,10:5:51,0.0
110,18.4038652,-66.0463797,10:6:27,0.0
111,18.4041079,-66.0464256,8:39:32,0.0
112,18.4041502,-66.0485306,8:40:2,0.0
113,18.4041728,-66.0500695,8:40:32,0.0
114,18.4037845,-66.0454662,8:48:1,3.5824944972991943
115,18.4034009,-66.0461888,8:48:21,0.0
116,18.4041286,-66.048392,8:48:50,0.0
117,18.4039918,-66.0461849,9:8:27,0.0
118,18.4039704,-66.0486076,9:8:54,0.0
119,18.4034131,-66.0498753,9:9:21,0.0
120,18.404676,-66.0502572,9:10:3,6.762736797332764
121,18.4063284,-66.0499231,9:10:33,4.702280521392822
122,18.4071838,-66.0494937,9:10:48,5.596956253051758
123,18.4066146,-66.0487669,9:11:14,5.788070201873779
124,18.4060684,-66.0482009,9:11:39,3.4005815982818604
125,18.4065666,-66.0466617,9:12:36,4.542807579040527
126,18.4060853,-66.0449399,9:13:12,3.0704052448272705
127,18.4061719,-66.0431114,9:15:10,6.65295934677124
128,18.4061371,-66.0435515,9:16:6,0.0
129,18.4069243,-66.0429556,9:17:4,0.0
130,18.4052908,-66.0456568,9:19:53,0.0
131,18.4038784,-66.0455471,9:21:17,0.0
132,18.4040339,-66.0463137,9:21:39,0.0
133,18.4043354,-66.0481552,9:22:11,0.0
134,18.4041316,-66.0501539,9:22:44,0.0
135,18.4047316,-66.0498053,9:23:18,0.0
136,18.4063204,-66.0501469,9:23:45,4.941866397857666
137,18.4072043,-66.0494703,9:24:9,4.328220367431641
138,18.4064088,-66.0484745,9:24:30,4.425745487213135
139,18.4065586,-66.0485914,9:24:51,7.109038829803467
140,18.4068231,-66.0469673,9:25:6,5.506962776184082
141,18.4059835,-66.04488,9:25:50,6.575960636138916
142,18.4060402,-66.0430497,9:26:39,4.818561553955078
143,18.4062762,-66.0427673,9:27:56,0.0
144,18.4069317,-66.0428341,9:28:50,0.0
145,18.405189,-66.0450673,9:31:21,6.632480621337891
146,18.4036133,-66.0455532,9:32:12,4.676039218902588
147,18.40383902293667,-66.04990846648302,8:35:35,0.11503525823354721
