lat,lon,time,stop,next_stop,elapsed,time_Seconds,round_trip
18.40456938762249,-66.0504020433024,8:36:19,24.0,23.0,44.0,30979.0,
18.40638315103616,-66.05023657198042,8:37:6,23.0,20.0,47.0,31026.0,
18.40720437712076,-66.04962720890191,8:37:27,20.0,19.0,21.0,31047.0,
18.406477031966404,-66.04849459328071,8:38:10,19.0,9.0,43.0,31090.0,
18.40609301613396,-66.04793175622824,8:38:19,9.0,10.0,9.0,31099.0,
18.40681484871325,-66.04690561722666,8:39:0,10.0,11.0,41.0,31140.0,
18.406093723466444,-66.0449504545053,8:39:52,11.0,2.1,52.0,31192.0,
18.406206896098947,-66.04319881037839,8:40:29,2.1,1.0,37.0,31229.0,
18.40716392503635,-66.04201759608569,8:41:15,1.0,2.2,46.0,31275.0,
18.40622394174976,-66.04304753882046,8:43:37,2.1,1.0,142.0,31417.0,
18.40481933304021,-66.04480108778422,8:45:29,3.0,4.0,112.0,31529.0,
18.403655188405843,-66.04491467040776,8:46:27,4.0,5.0,58.0,31587.0,
18.403687798227363,-66.04655620835001,8:47:5,5.0,6.0,38.0,31625.0,
18.40376576015237,-66.04710407198863,8:47:15,5.0,6.0,10.0,31635.0,
18.403888068747538,-66.04822544144483,8:47:41,6.0,13.0,26.0,31661.0,
18.40402879323121,-66.05003864153923,8:48:15,13.0,24.0,34.0,31695.0,760.0
18.403841255413475,-66.0467061858424,8:19:38,5.0,6.0,,29978.0,
18.404050408138943,-66.04805794882004,8:20:25,6.0,13.0,47.0,30025.0,
18.40402327898199,-66.04980571340154,8:21:32,13.0,24.0,67.0,30092.0,
18.406570985874662,-66.05002521648326,8:23:9,23.0,20.0,97.0,30189.0,
18.40698626611469,-66.0493011781115,8:23:37,20.0,19.0,28.0,30217.0,
18.40644811379137,-66.04857261952145,8:24:9,19.0,9.0,32.0,30249.0,
18.406064854752927,-66.04788054869105,8:24:40,9.0,10.0,31.0,30280.0,
18.406680272001086,-66.04687917981495,8:25:4,10.0,11.0,24.0,30304.0,
18.40610130874316,-66.04495247743472,8:25:53,11.0,2.1,49.0,30353.0,
18.406168366396216,-66.0433006454002,8:27:53,2.1,1.0,120.0,30473.0,
18.40708031670283,-66.04203674015297,8:28:32,1.0,2.2,39.0,30512.0,
18.40621549163478,-66.0431250715107,8:31:37,2.1,1.0,185.0,30697.0,
18.40485582028525,-66.04466648774243,8:32:36,3.0,4.0,59.0,30756.0,
18.403645614245512,-66.04547491614534,8:34:10,4.0,5.0,94.0,30850.0,
18.403735069349988,-66.04650254086648,8:34:49,5.0,6.0,39.0,30889.0,911.0
18.403917776804505,-66.04811407060794,8:35:28,6.0,13.0,39.0,30928.0,903.0
18.40398258561508,-66.04977705198766,8:36:49,13.0,24.0,81.0,31009.0,917.0
18.40455906708296,-66.05041231317166,8:37:24,24.0,23.0,35.0,31044.0,
18.406587537418257,-66.05002473253145,8:38:4,23.0,20.0,40.0,31084.0,895.0
18.406963282266304,-66.04920631911301,8:38:32,20.0,19.0,28.0,31112.0,895.0
18.40654407835169,-66.04865080408942,8:38:52,19.0,9.0,20.0,31132.0,883.0
18.406092214606204,-66.0479306557725,8:39:14,9.0,10.0,22.0,31154.0,874.0
18.406761893326063,-66.04679057387852,8:41:57,10.0,11.0,163.0,31317.0,1013.0
18.406091591816164,-66.04490195987566,8:42:55,11.0,2.1,58.0,31375.0,1022.0
18.40617939281951,-66.04321776653752,8:43:51,2.1,1.0,56.0,31431.0,734.0
18.407208960324542,-66.04197190553307,8:45:15,1.0,2.2,84.0,31515.0,1003.0
18.40629668498006,-66.04315723249405,8:48:27,2.1,1.0,192.0,31707.0,
18.404851624082568,-66.04470963821986,8:50:44,3.0,4.0,137.0,31844.0,1088.0
18.403725565956982,-66.04634555632315,8:53:6,5.0,6.0,142.0,31986.0,1097.0
18.403919022856496,-66.04808738960219,8:53:46,6.0,13.0,40.0,32026.0,1098.0
18.40401841689617,-66.04977015555296,8:54:40,13.0,24.0,54.0,32080.0,1071.0
18.40490857221733,-66.05038589003229,8:56:5,24.0,23.0,85.0,32165.0,1121.0
18.40695556752932,-66.04922547633127,8:57:12,20.0,19.0,67.0,32232.0,1120.0
18.4064327641701,-66.04845488123969,8:57:36,19.0,9.0,24.0,32256.0,1124.0
18.40606843841526,-66.04786351356553,8:58:10,9.0,10.0,34.0,32290.0,1136.0
18.406712497963607,-66.04673847583527,8:58:40,10.0,11.0,30.0,32320.0,1003.0
18.40609192998673,-66.04490857215644,8:59:26,11.0,2.1,46.0,32366.0,991.0
18.407108303565813,-66.04203299510871,9:3:37,1.0,2.2,251.0,32617.0,1102.0
18.40624116029418,-66.0433466309239,9:7:3,2.1,1.0,206.0,32823.0,1116.0
18.4048474113932,-66.04479573578647,9:9:9,3.0,4.0,126.0,32949.0,1105.0
18.40377746510377,-66.0453418504387,9:10:48,4.0,5.0,99.0,33048.0,2198.0
18.403742705004067,-66.04534992755907,9:10:54,4.0,5.0,6.0,33054.0,
18.403730442371547,-66.04538841277414,9:11:0,4.0,5.0,6.0,33060.0,
18.40396109089308,-66.04824466037135,9:12:14,6.0,13.0,74.0,33134.0,1108.0
18.404003127066627,-66.05023689315433,9:12:53,13.0,24.0,39.0,33173.0,1093.0
18.40540222853243,-66.05038894709884,9:13:28,24.0,23.0,35.0,33208.0,1043.0
18.40637108749132,-66.05015949380292,9:13:46,23.0,20.0,18.0,33226.0,2142.0
18.40706536623996,-66.0493891084046,9:14:12,20.0,19.0,26.0,33252.0,1020.0
18.406537868859168,-66.04858543267393,9:14:34,19.0,9.0,22.0,33274.0,1018.0
18.40610920729775,-66.04792789049775,9:14:52,9.0,10.0,18.0,33292.0,1002.0
18.40671963995057,-66.04687242129219,9:15:21,10.0,11.0,29.0,33321.0,1001.0
18.40609904681324,-66.0449371284107,9:16:5,11.0,2.1,44.0,33365.0,999.0
18.40614217433037,-66.04323693303971,9:17:53,2.1,1.0,108.0,33473.0,650.0
18.40712819628516,-66.04184871409075,9:19:10,1.0,2.2,77.0,33550.0,933.0
18.4062138666904,-66.04311639845702,9:21:39,2.1,1.0,149.0,33699.0,
18.40484665339148,-66.04472070796332,9:22:48,3.0,4.0,69.0,33768.0,819.0
18.4041623,-66.0476767,9:41:8,6.0,13.0,,34868.0,1734.0
18.4041904,-66.0464405,9:40:51,5.0,6.0,,34851.0,2865.0
18.4035774,-66.0496313,9:41:56,13.0,24.0,65.0,34916.0,1743.0
18.4048447,-66.0502883,9:42:43,24.0,23.0,47.0,34963.0,1755.0
18.4063022,-66.0500888,9:43:16,23.0,20.0,33.0,34996.0,1770.0
18.4071427,-66.0494678,9:44:53,20.0,19.0,97.0,35093.0,1841.0
18.4066311,-66.0487801,9:45:30,19.0,9.0,37.0,35130.0,1856.0
18.4060688,-66.0478335,9:45:57,9.0,10.0,27.0,35157.0,1865.0
18.4067916,-66.0469655,9:46:27,10.0,11.0,30.0,35187.0,1866.0
18.4060463,-66.044841,9:47:21,11.0,2.1,54.0,35241.0,1876.0
18.40615,-66.0432382,9:49:40,2.1,1.0,139.0,35380.0,1681.0
18.4071545,-66.0419177,9:51:10,1.0,2.2,90.0,35470.0,1920.0
18.4076123,-66.0398481,9:53:39,1.0,2.2,149.0,35619.0,
18.4042147,-66.0447955,9:56:40,3.0,4.0,181.0,35800.0,2032.0
18.4036904,-66.0455046,9:58:26,4.0,5.0,106.0,35906.0,2846.0
18.4034143,-66.046157,9:59:20,5.0,6.0,54.0,35960.0,1109.0
18.4041796,-66.0484439,10:0:4,6.0,13.0,44.0,36004.0,1136.0
18.4035718,-66.0497826,10:1:15,13.0,24.0,71.0,36075.0,1159.0
18.4047448,-66.0504197,10:2:25,24.0,23.0,70.0,36145.0,1182.0
18.4062408,-66.0502325,10:2:56,23.0,20.0,31.0,36176.0,1180.0
18.4072817,-66.0495634,10:3:48,20.0,19.0,52.0,36228.0,1135.0
18.4066811,-66.0487839,10:4:13,19.0,9.0,25.0,36253.0,1123.0
18.4060574,-66.0479295,10:4:31,9.0,10.0,18.0,36271.0,1114.0
